Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Pounds,Steps
2014-07-18,Fitbit calorie adjustment,Cardio,418.0,1,,,,
2014-07-19,Fitbit calorie adjustment,Cardio,62.0,1,,,,
2014-07-20,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2014-07-21,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2014-07-22,Fitbit calorie adjustment,Cardio,412.0,1,,,,
2014-07-23,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2014-07-24,Fitbit calorie adjustment,Cardio,120.0,1,,,,
2014-07-25,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2014-07-26,Fitbit calorie adjustment,Cardio,418.0,1,,,,
2014-07-27,Fitbit calorie adjustment,Cardio,418.0,1,,,,
2014-07-28,Fitbit calorie adjustment,Cardio,969.0,1,,,,
2014-07-29,Fitbit calorie adjustment,Cardio,418.0,1,,,,
2014-07-30,Fitbit calorie adjustment,Cardio,418.0,1,,,,
2014-07-31,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2014-08-01,Fitbit calorie adjustment,Cardio,418.0,1,,,,
2014-08-02,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-04-11,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-04-12,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-04-13,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-04-14,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-04-15,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-04-16,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-04-17,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-04-18,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-04-19,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-04-19,"Swimming, leisurely, general",Cardio,361.0,45,,,,
2015-04-20,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-04-21,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-04-22,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-04-23,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-04-23,"Walking, 2.0 mph, slow pace",Cardio,100.0,30,,,,
2015-04-24,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-04-25,"Cleaning, heavy, vigorous effort",Cardio,120.0,30,,,,
2015-04-25,"Cleaning, light, moderate effort",Cardio,200.0,60,,,,
2015-04-25,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-04-26,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-04-26,"Swimming, leisurely, general",Cardio,400.0,50,,,,
2015-04-27,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-04-28,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-04-29,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-04-30,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-04-30,"Walking, 2.5 mph, leisurely pace",Cardio,190.0,48,,,,
2015-05-01,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-05-02,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-05-03,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-05-03,"Swimming, leisurely, general",Cardio,475.0,60,,,,
2015-05-04,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-05-05,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-05-06,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-05-07,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-05-08,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-05-08,"Walking, carrying infant or 15-lb load",Cardio,138.0,30,,,,
2015-05-09,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-05-10,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-05-11,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-05-12,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-05-13,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-05-14,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-05-15,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-05-16,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-05-17,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-05-17,"Swimming, leisurely, general",Cardio,313.0,40,,,,
2015-05-18,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-05-19,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-05-20,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-05-21,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-05-22,"Cleaning, light, moderate effort",Cardio,200.0,60,,,,
2015-05-22,Fitbit calorie adjustment,Cardio,0.0,1,,,,
2015-05-23,Fitbit calorie adjustment,Cardio,0.0,1,,,,
