Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2015-05-28,Dinner,665.8,19.2,6.5,0.6,1.6,0.0,25.0,290.6,154.0,116.0,5.0,41.0,10.0,5.2,0.0,11.1,6.1
2015-05-28,Breakfast,190.0,9.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,48.0,1.0,12.0,20.0,0.0,0.0,6.0,8.0
2015-05-28,Lunch,150.0,9.0,5.3,0.0,0.0,0.0,7.5,26.3,0.0,18.8,0.8,17.3,2.3,0.0,0.0,6.0,1.5
2015-05-29,Dinner,910.0,34.5,12.0,1.3,10.0,1.5,67.5,1330.0,570.0,122.0,9.0,54.5,32.0,55.0,4.0,11.0,32.5
2015-05-29,Lunch,250.4,10.8,1.5,0.0,0.0,0.0,0.0,184.6,170.0,35.2,3.5,3.0,5.1,20.0,90.0,7.1,10.0
2015-05-29,Breakfast,230.0,21.0,1.8,0.0,0.0,0.0,12.5,242.5,0.0,58.5,0.5,18.0,36.0,4.0,4.0,9.5,2.0
2015-05-29,Snacks,420.0,19.0,11.5,0.5,2.0,0.0,20.0,195.0,100.0,60.0,2.0,39.0,6.0,8.0,0.0,12.0,4.0
2015-05-30,Lunch,395.1,11.2,5.0,0.7,1.1,0.2,40.8,629.5,292.4,57.1,1.0,5.7,17.1,4.9,13.4,18.5,23.1
2015-05-30,Snacks,150.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
2015-05-30,Dinner,587.5,30.0,10.5,0.0,0.0,1.0,91.3,1110.0,0.0,53.0,3.3,11.0,26.3,6.0,2.5,25.0,25.5
2015-05-30,Breakfast,520.2,17.6,1.6,1.6,8.0,0.0,45.0,1979.7,249.3,78.9,5.7,9.7,36.1,16.3,45.3,7.2,25.0
2015-05-31,Breakfast,213.0,2.7,1.6,0.0,0.8,0.0,10.8,195.2,258.5,38.6,3.6,17.2,5.5,17.3,14.1,34.1,11.9
2015-05-31,Snacks,294.1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,79.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0
2015-05-31,Dinner,1178.0,36.8,0.9,0.8,0.9,0.1,102.0,2205.0,1206.0,94.0,16.0,7.1,45.0,12.0,31.0,25.0,46.0
2015-05-31,Lunch,618.8,12.7,1.8,4.7,1.9,0.0,38.7,1696.2,0.0,88.7,4.5,11.7,29.1,5.0,28.6,35.0,26.6
2015-06-01,Breakfast,215.0,6.5,1.5,0.0,0.8,0.0,10.0,170.0,235.0,45.0,3.0,19.0,13.0,15.0,12.0,30.0,10.0
2015-06-01,Lunch,218.4,1.6,0.3,0.6,0.6,0.0,0.0,2.0,154.0,45.8,3.5,0.0,4.5,0.0,0.0,2.0,5.7
2015-06-01,Snacks,627.6,25.6,18.0,0.1,0.0,0.0,30.0,222.3,206.1,96.3,1.9,66.1,6.8,15.3,1.9,18.3,0.7
2015-06-01,Dinner,150.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
2015-06-02,Lunch,420.0,17.5,3.0,6.0,3.5,0.0,0.0,710.0,30.0,59.0,1.5,10.0,7.0,0.0,0.0,10.0,14.0
2015-06-02,Breakfast,285.0,7.5,5.0,0.0,2.5,0.0,0.0,0.0,450.0,60.0,3.0,49.0,1.0,2.0,15.0,0.0,2.0
2015-06-02,Dinner,366.5,1.8,0.4,0.6,0.6,0.0,0.0,64.8,83.9,84.8,3.5,40.7,5.0,0.0,0.0,0.0,0.0
2015-06-03,Snacks,552.0,7.4,1.5,0.0,0.0,0.0,5.0,140.0,0.0,127.4,3.6,105.2,6.6,0.0,0.0,0.0,0.0
2015-06-03,Dinner,818.6,25.2,13.9,0.9,6.2,0.0,85.1,544.3,1071.1,104.2,7.2,13.5,42.6,33.5,54.1,72.6,13.7
2015-06-03,Breakfast,415.5,19.1,3.1,4.4,7.0,0.0,0.0,263.2,675.0,70.1,5.6,33.8,18.6,2.0,17.1,8.3,10.6
2015-06-03,Lunch,260.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0
2015-06-04,Dinner,146.0,10.3,5.7,0.0,0.0,0.0,30.0,70.5,51.0,9.1,0.4,1.5,2.3,6.0,0.0,3.8,0.0
2015-06-04,Breakfast,439.3,16.6,7.0,0.4,3.1,0.0,42.5,272.2,535.6,64.1,3.6,10.8,29.3,16.8,27.0,36.3,6.9
2015-06-04,Lunch,218.4,1.6,0.3,0.6,0.6,0.0,0.0,2.0,154.0,45.8,3.5,0.0,4.5,0.0,0.0,2.0,5.7
2015-06-04,Snacks,342.0,10.5,8.0,0.0,0.0,0.0,0.0,63.8,0.0,61.7,1.4,49.1,2.1,0.0,0.0,0.0,0.0
2015-06-05,Lunch,669.3,12.6,7.0,0.4,3.1,0.0,42.5,332.2,535.6,122.1,3.6,76.8,21.3,16.8,27.0,36.3,6.9
2015-06-05,Breakfast,307.0,8.0,1.5,0.5,0.8,0.0,10.0,270.5,238.5,62.7,4.3,25.9,15.1,16.0,13.0,31.5,15.0
2015-06-05,Dinner,1095.0,40.5,16.0,0.0,0.0,0.0,195.0,2410.0,0.0,124.0,19.5,8.5,60.5,36.0,34.0,60.0,45.0
2015-06-05,Snacks,102.0,0.5,0.0,0.0,0.0,0.0,0.0,3.8,0.0,25.7,1.4,21.1,2.1,0.0,0.0,0.0,0.0
2015-06-06,Breakfast,110.0,5.5,0.0,0.5,0.0,0.0,0.0,90.0,0.0,27.0,1.0,10.0,10.0,0.0,0.0,0.0,4.0
2015-06-06,Snacks,657.4,1.2,0.2,0.3,0.3,0.0,0.0,6.7,820.0,118.9,9.6,71.6,4.1,0.5,5.0,0.1,0.1
