Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2014-07-18,Snacks,232.0,35.0,3.0,0.0,0.0,0.0,0.0,100.0,96.0,31.0,9.0,7.0,2.8,0.0,0.0,10.0,2.0
2014-07-18,Breakfast,466.7,37.4,17.9,1.0,5.5,0.0,98.8,949.8,54.9,27.9,2.2,4.5,27.1,11.2,30.0,44.4,7.1
2014-07-18,Lunch,330.0,9.0,5.0,0.0,0.0,0.0,0.0,1050.0,3.3,54.7,2.0,14.7,5.0,0.0,0.0,2.0,10.0
2015-04-16,Dinner,1383.7,7.9,4.9,0.3,2.1,0.0,31.7,57.6,143.3,17.0,0.5,15.3,2.5,6.1,0.7,9.2,0.4
2015-04-16,Snacks,140.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0
2015-04-16,Breakfast,369.7,5.9,0.5,1.0,0.7,0.0,0.0,6.8,83.9,68.5,3.5,5.3,19.1,0.0,0.2,11.4,5.1
2015-04-17,Breakfast,408.8,23.0,7.0,0.0,0.0,0.0,126.0,126.0,0.0,6.0,0.0,2.0,46.0,3.5,0.0,0.0,5.3
2015-04-17,Lunch,740.0,18.8,1.0,0.1,0.0,0.0,51.0,3076.0,124.0,88.1,6.7,4.7,33.0,14.9,20.7,3.4,7.6
2015-04-17,Dinner,605.2,12.4,5.7,2.2,1.2,0.0,0.0,1095.0,350.9,98.8,4.1,7.5,18.9,120.0,10.0,14.1,31.1
2015-04-18,Snacks,517.6,11.2,0.0,0.0,0.0,0.0,56.0,909.0,0.0,39.6,2.3,39.0,24.0,0.0,0.0,0.0,0.0
2015-04-18,Breakfast,150.0,5.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,37.0,1.0,10.0,12.0,0.0,0.0,6.0,8.0
2015-04-18,Lunch,255.9,5.7,2.1,0.1,0.1,0.0,0.0,0.0,27.0,32.6,2.3,3.0,4.2,20.0,90.0,4.3,17.7
2015-04-18,Dinner,923.4,50.1,26.7,4.2,13.4,0.0,106.4,2563.9,419.2,88.1,3.3,4.9,33.7,38.0,40.2,71.4,38.2
2015-04-19,Lunch,1110.0,45.0,13.5,1.5,2.5,0.0,90.0,1995.0,380.0,141.0,8.0,42.0,47.0,0.0,15.0,0.0,4.0
2015-04-19,Dinner,532.9,6.4,1.1,2.4,2.4,0.0,31.2,1660.7,233.9,52.3,2.0,47.0,33.4,0.0,1.4,0.9,19.1
2015-04-19,Breakfast,579.5,26.4,10.2,0.0,0.0,0.0,63.2,394.0,0.0,94.4,2.6,69.0,21.8,15.0,2.0,35.0,20.0
2015-04-20,Dinner,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,2.0,20.0,90.0,4.0,10.0
2015-04-20,Lunch,510.0,18.5,9.0,0.0,0.0,0.0,20.0,445.0,0.0,68.0,1.0,41.0,9.0,6.0,6.0,17.0,10.0
2015-04-20,Breakfast,30.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0
2015-04-20,Snacks,467.9,18.1,10.2,0.4,2.1,0.0,50.3,162.3,429.7,75.2,4.8,58.1,4.7,12.2,23.9,19.1,3.5
2015-04-21,Lunch,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,2.0,20.0,90.0,4.0,10.0
2015-04-21,Dinner,794.0,18.3,5.0,3.9,2.8,0.0,22.5,2031.4,693.6,116.3,8.7,7.8,38.9,20.2,23.1,47.5,50.7
2015-04-21,Breakfast,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0
2015-04-22,Dinner,776.3,32.5,9.7,3.1,4.4,0.0,73.7,3469.0,597.3,81.7,4.5,10.3,34.1,14.2,34.3,8.5,21.9
2015-04-22,Snacks,577.0,4.2,1.4,0.6,2.8,0.0,35.2,1485.0,317.9,64.8,0.6,39.0,33.1,0.0,1.6,1.6,18.9
2015-04-22,Breakfast,466.6,11.3,2.6,2.1,1.4,0.0,11.3,1016.1,361.5,76.0,4.5,5.9,24.6,10.1,11.6,24.2,28.1
2015-04-23,Dinner,1841.0,81.5,44.3,5.2,22.5,0.1,440.4,3781.2,1018.5,106.4,6.0,84.8,99.5,55.1,6.2,17.7,40.5
2015-04-23,Breakfast,135.0,3.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,31.0,1.0,8.0,8.0,0.0,0.0,6.0,8.0
