"","Date","Exercise_Minutes","Weight","Calories"
"1",2016-06-01,NA,NA,NA
"2",2016-06-02,NA,NA,NA
"3",2016-06-03,NA,NA,NA
"4",2016-06-04,NA,NA,NA
"5",2016-06-05,NA,177.2,1893.4
"6",2016-06-06,NA,177.12,1754
"7",2016-06-07,NA,177.04,1846.9
"8",2016-06-08,46,176.96,2222.4
"9",2016-06-09,NA,176.88,1042.9
"10",2016-06-10,NA,176.8,844
"11",2016-06-11,NA,176.525,1819.9
"12",2016-06-12,31,176.25,1976
"13",2016-06-13,NA,175.975,1602.8
"14",2016-06-14,91,175.7,2093.8
"15",2016-06-15,51,175.425,2273.7
"16",2016-06-16,NA,175.15,1469.1
"17",2016-06-17,NA,174.875,1232.5
"18",2016-06-18,NA,174.6,1733.4
"19",2016-06-19,49,174.428571428571,1181.7
"20",2016-06-20,NA,174.257142857143,1673.4
"21",2016-06-21,NA,174.085714285714,550.9
"22",2016-06-22,61,173.914285714286,2362.5
"23",2016-06-23,NA,173.742857142857,1586.2
"24",2016-06-24,NA,173.571428571429,1620
"25",2016-06-25,NA,173.4,1539.6
"26",2016-06-26,NA,173.342857142857,1843.1
"27",2016-06-27,31,173.285714285714,913.7
"28",2016-06-28,NA,173.228571428571,1141.4
"29",2016-06-29,NA,173.171428571429,2493.6
"30",2016-06-30,NA,173.114285714286,760.2
"31",2016-07-01,NA,173.057142857143,1010.6
"32",2016-07-02,NA,173,1804.8
"33",2016-07-03,NA,172.8,1420.8
"34",2016-07-04,NA,172.6,1825
"35",2016-07-05,NA,172.4,1251.3
"36",2016-07-06,41,172.2,1715.8
"37",2016-07-07,NA,172,1759.2
"38",2016-07-08,NA,171.8,2023.6
"39",2016-07-09,NA,171.6,1826.5
"40",2016-07-10,NA,171.542857142857,1657.2
"41",2016-07-11,61,171.485714285714,2106.1
"42",2016-07-12,NA,171.428571428571,2080
"43",2016-07-13,41,171.371428571429,1791.1
"44",2016-07-14,91,171.314285714286,2255.8
"45",2016-07-15,NA,171.257142857143,1443.8
"46",2016-07-16,115,171.2,1938.1
"47",2016-07-17,NA,171.057142857143,1005.8
"48",2016-07-18,52,170.914285714286,1810.4
"49",2016-07-19,NA,170.771428571429,1652.8
"50",2016-07-20,121,170.628571428571,2303.9
"51",2016-07-21,101,170.485714285714,1211
"52",2016-07-22,46,170.342857142857,1071.5
"53",2016-07-23,98,170.2,2046.1
"54",2016-07-24,90,170.342857142857,1145.7
"55",2016-07-25,NA,170.485714285714,2173.3
"56",2016-07-26,61,170.628571428571,1327.6
"57",2016-07-27,121,170.771428571429,2266.4
"58",2016-07-28,88,170.914285714286,1704.6
"59",2016-07-29,NA,171.057142857143,890
"60",2016-07-30,87,171.2,1023.8
"61",2016-07-31,48,170.885714285714,1628.1
"62",2016-08-01,106,170.571428571429,335.4
"63",2016-08-02,NA,170.257142857143,1457
"64",2016-08-03,NA,169.942857142857,1848.4
"65",2016-08-04,NA,169.628571428571,1418.4
"66",2016-08-05,99,169.314285714286,1456.3
"67",2016-08-06,NA,169,570
"68",2016-08-07,NA,169.2,2175.4
"69",2016-08-08,93,169.4,30
"70",2016-08-09,NA,169.6,1684.2
"71",2016-08-10,NA,169.8,3535.1
"72",2016-08-11,46,170,1179
"73",2016-08-12,NA,170.2,2579.5
"74",2016-08-13,46,170.4,689.6
"75",2016-08-14,NA,NA,1610
"76",2016-08-15,91,NA,1802.3
"77",2016-08-16,NA,NA,NA
