"","Exercise_Minutes","Weight","Calories"
"1",1,NA,NA
"2",1,NA,NA
"3",1,NA,NA
"4",1,NA,NA
"5",1,177.2,1893.4
"6",1,NA,1754
"7",1,NA,1846.9
"8",46,NA,2222.4
"9",1,NA,1042.9
"10",1,176.8,844
"11",1,NA,1819.9
"12",31,NA,1976
"13",1,NA,1602.8
"14",91,NA,2093.8
"15",51,NA,2273.7
"16",1,NA,1469.1
"17",1,NA,1232.5
"18",1,174.6,1733.4
"19",49,NA,1181.7
"20",1,NA,1673.4
"21",1,NA,550.9
"22",61,NA,2362.5
"23",1,NA,1586.2
"24",1,NA,1620
"25",1,173.4,1539.6
"26",1,NA,1843.1
"27",31,NA,913.7
"28",1,NA,1141.4
"29",1,NA,2493.6
"30",1,NA,760.2
"31",1,NA,1010.6
"32",1,173,1804.8
"33",1,NA,1420.8
"34",1,NA,1825
"35",1,NA,1251.3
"36",41,NA,1715.8
"37",1,NA,1759.2
"38",1,NA,2023.6
"39",1,171.6,1826.5
"40",1,NA,1657.2
"41",61,NA,2106.1
"42",1,NA,2080
"43",41,NA,1791.1
"44",91,NA,2255.8
"45",1,NA,1443.8
"46",115,171.2,1938.1
"47",1,NA,1005.8
"48",52,NA,1810.4
"49",1,NA,1652.8
"50",121,NA,2303.9
"51",101,NA,1211
"52",46,NA,1071.5
"53",98,170.2,2046.1
"54",90,NA,1145.7
"55",1,NA,2173.3
"56",61,NA,1327.6
"57",121,NA,2266.4
"58",88,NA,1704.6
"59",1,NA,890
"60",87,171.2,1023.8
"61",48,NA,1628.1
"62",106,NA,335.4
"63",1,NA,1457
"64",1,NA,1848.4
"65",1,NA,1418.4
"66",99,NA,1456.3
"67",1,169,570
"68",1,NA,2175.4
"69",93,NA,30
"70",1,NA,1684.2
"71",1,NA,3535.1
"72",46,NA,1179
"73",1,NA,2579.5
"74",46,170.4,689.6
"75",1,NA,1610
"76",91,NA,1802.3
"77",1,NA,NA
