Date,Bike,Calories
5/27/2015,18.59,2604
5/28/2015,,2092
5/29/2015,8.81,2131
5/30/2015,,1653
5/31/2015,,2303
6/1/2015,8.94,2202
6/2/2015,9,2012
6/3/2015,17.53,2742
6/4/2015,17.57,2305
6/5/2015,,2173
6/6/2015,,2067
6/7/2015,,2685
6/8/2015,17.49,2260
6/9/2015,,1642
6/10/2015,17.59,2230
6/11/2015,8.74,2526
6/12/2015,17.47,1906
6/13/2015,,1960
6/14/2015,,1849
6/15/2015,,1932
6/16/2015,17.49,1966
6/17/2015,,2100
6/18/2015,,2175
6/19/2015,17.49,
6/20/2015,,2188
6/21/2015,,3535
6/22/2015,8.73,1518
6/23/2015,,2579
6/24/2015,8.71,1549
6/25/2015,,2400
6/26/2015,17.5,2395
